Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Qty,Variant Price,Image Src
,Ford Ranger T7 T8 15-22 - City Style Nudge Bar,"Predator4x4 city style nudge bars are the perfect fusion of rugged functionality and urban sophistication. Our Predator4x4 city style nudge bars are our designed to provide your pickup with a distinct, street-smart look while offering practical protection.

 	

 	A subtle twin nudge bar design seamlessly integrates with your Ranger's aesthetics




 	

 	Securely bolts to OEM mounts with no drilling required




 	

 	The perfect upgrade for improving safety and style




 	

 	Powder coated black for corrosion prevention




 	

 	All fixings included for an easy installation",,Styling > Bull Bars,"Ford,Ranger,Ranger T7 (2015-2019),Ranger T8 (2019-2022)",,,,HWNB002,out of stock,199.99,https://www.4x4predator.co.uk/wp-content/uploads/2024/11/50-50-34.jpg
,Toyota Hilux Revo MK8 MK9 2015+ GR Style Smoked LED Rear Tail Lights,"Predator4x4 LED tail lights are an easy straightforward upgrade for your vehicle, Our Predator4x4 LED tail lights transform the rear end of your vehicle, giving it a sophisticated and stylish new appearance.







 



 Manufactured from high quality materials for long lasting durability











 



 Direct replacement for the OEM lights with premium, bright LED lights











 



 Designed to improve visibility with a simple upgrade











 



 Supplied as pictured with aggressive GR styling











 



 The perfect aesthetic upgrade for your Hilux",,Styling > Tail Lights,"Hilux,MK8/MK9 Revo (2015+),Toyota",,,,HWTL004,in stock,149.99,https://www.4x4predator.co.uk/wp-content/uploads/2024/11/REAR-END-copy-2.jpg
,Toyota Hilux Vigo MK7 05-15 Smoked LED Rear Tail Lights,"Predator4x4 LED tail lights are an easy straightforward upgrade for your vehicle, Our Predator4x4 LED tail lights transform the rear end of your vehicle, giving it a sophisticated and stylish new appearance.

 Manufactured from high quality materials for long lasting durability
 Direct replacement for the OEM lights with premium, bright LED lights
 Designed to improve visibility with a simple upgrade
 Supplied as pictured with a modern updated design
 The perfect aesthetic upgrade for your Hilux",,Styling > Tail Lights,"Hilux,MK7 Vigo (2005-2015),Toyota",,,,HWTL006,out of stock,119.99,https://www.4x4predator.co.uk/wp-content/uploads/2025/03/HWTL006-01-copy.jpg
,Ford Ranger T6 T7 T8 12-22 Smoked LED Rear Tail Lights,"Predator4x4 LED tail lights are an easy straightforward upgrade for your vehicle, Our Predator4x4 LED tail lights transform the rear end of your vehicle, giving it a sophisticated and stylish new appearance.







 



 Manufactured from high quality materials for long lasting durability











 



 Direct replacement for the OEM lights with premium, bright LED lights











 



 Designed to improve visibility with a simple upgrade











 



 Supplied as pictured with a modern updated design











 



 The perfect aesthetic upgrade for your Ranger",,Styling > Tail Lights,"Ford,Ranger,Ranger T6 (2012-2015),Ranger T7 (2015-2019),Ranger T8 (2019-2022)",,,,HWTL002,in stock,184.99,https://www.4x4predator.co.uk/wp-content/uploads/2024/11/50-50-31.jpg
,Ford Ranger T8 18-22 LED DRL Fog Light Surrounds,"Predator4x4 fog light surrounds feature a modern and eye-catching design with a touch of sophistication to enhance your vehicle's appearance. Our Predator4x4 fog light surrounds feature Bright LED day time running lights designed to cut through fog and heavy rain.















 



 

Manufactured from high quality ABS for long lasting durability











 



 Integrates with your indicators to retain functionality











 



 

Fitted with bright white LED's for improved visibility











 



 

Increases your Ranger's visibility in all conditions











 



 

Includes a sleek, gloss black fog light surround",,Styling > Fog Lights,"Ford,Ranger,Ranger T8 (2019-2022)",,,,HWFL001,out of stock,74.99,https://www.4x4predator.co.uk/wp-content/uploads/2024/11/50-50-32.jpg
,Toyota Hilux Invincible X MK9 2021+ Gloss Black GR Sport Style Front Grille,"Predator4x4 grilles are a great addition for the exterior appearance of your vehicle. Our Predator4x4 grilles are designed to replace the OEM grille making fitment simple and straight forward.

&nbsp;

 	Distinctive styling to help your car stand out from the crowd
 	Made from lightweight and durable OEM-grade ABS
 	Easy to fit, direct replacement for the original grille
 	Supplied in a gloss black finish ready for fitting
 	Supplied with a silver logo across the grille",,Grilles,"Hilux,MK8/MK9 Revo (2015+),Toyota",,,,HWGR001,out of stock,199.99,https://www.4x4predator.co.uk/wp-content/uploads/2024/11/HWGR001-copy-1.jpg
,Toyota Hilux Revo MK8 MK9 2015+ Chrome Rear Bumper,"Predator4x4 rear bumpers are the ideal solution to restore your vehicle's authentic appearance and safeguard it with factory-grade precision. Our Predator4x4 rear bumpers ensure your pick up looks as good as new.



 	

 	
Manufactured from high grade materials for added strength and durability




 	

 	
Raised foot grips to provide easy access to your truck bed




 	

 	
Designed to restore your Hilux to its original glory




 	

 	
Securely fits to the OEM bumper mounting points




 	

 	
Plastic drainage strips for extra under foot grip",,Styling > Rear Bumpers,"Hilux,MK8/MK9 Revo (2015+),Toyota",,,,HWBU004,out of stock,189.99,https://www.4x4predator.co.uk/wp-content/uploads/2024/11/50-50-26.jpg
,Toyota Hilux Revo MK8 2015+ Black Rear Bumper,"Predator4x4 rear bumpers are the ideal solution to restore your vehicle's authentic appearance and safeguard it with factory-grade precision. Our Predator4x4 rear bumpers ensure your pick up looks as good as new.



 	

 	
Manufactured from high grade materials for added strength and durability




 	

 	
Raised foot grips to provide easy access to your truck bed




 	

 	
Designed to restore your Hilux to its original glory




 	

 	
Securely fits to the OEM bumper mounting points




 	

 	
Plastic drainage strips for extra under foot grip",,Styling > Rear Bumpers,"Hilux,MK8/MK9 Revo (2015+),Toyota",,,,HWBU006,out of stock,189.99,https://www.4x4predator.co.uk/wp-content/uploads/2024/11/50-50-25.jpg
,Toyota Hilux Vigo MK7 05-15 Chrome Rear Bumper,"Predator4x4 rear bumpers are the ideal solution to restore your vehicle's authentic appearance and safeguard it with factory-grade precision. Our Predator4x4 rear bumpers ensure your pick up looks as good as new.













 



 

Manufactured from high grade materials for added strength and durability











 



 

Raised foot grips to provide easy access to your truck bed











 



 

Designed to restore your Hilux to its original glory











 



 

Securely fits to the OEM bumper mounting points











 



 

Plastic drainage strips for extra under foot grip",,Styling > Rear Bumpers,"Hilux,MK7 Vigo (2005-2015),Toyota",,,,HWBU007,in stock,174.99,https://www.4x4predator.co.uk/wp-content/uploads/2024/11/HWBU007-fade.jpg
,Nissan Navara D23 NP300 15-21 Black & Chrome Rear Bumper,"Predator4x4 rear bumpers are the ideal solution to restore your vehicle's authentic appearance and safeguard it with factory-grade precision. Our Predator4x4 rear bumpers ensure your pick up looks as good as new.



 	

 	
Manufactured from high grade materials for added strength and durability




 	

 	
Plastic foot grips to provide easy access to your truck bed




 	

 	
Designed to restore your Navara to its original glory




 	

 	
Securely fits to the OEM bumper mounting points




 	

 	
Plastic drainage strips for extra under foot grip",,Styling > Rear Bumpers,"D23 NP300 (2015-2021),Navara,Nissan",,,,HWBU008,in stock,189.99,https://www.4x4predator.co.uk/wp-content/uploads/2024/11/HWBU008-01-copy-2.jpg
,VW Amarok MK1 10-20 Black Tailgate Spoiler,"Our spoilers are designed using CAD to ensure perfect fitment every time. Fitting a Predator4x4 spoiler will greatly improve both the exterior appearance and aerodynamics of your vehicle.

 Enhance the look of your VW Amarok with this streamlined spoiler
 Designed to fit flush with the shape of your Amarok's tailgate
 Easy to fit with a combination of self-adhesive tape
 Supplied ready to fit with a satin black finish
 Manufactured from OEM grade ABS",,Styling > Spoilers,"Amarok,MK1 (2010-2020),Volkswagen",,,,HWSP003,in stock,74.99,https://www.4x4predator.co.uk/wp-content/uploads/2025/03/HWSP003-02.jpg
,VW Amarok MK1 10-20 Chrome Rear Bumper with Sensor Holes,"Predator4x4 rear bumpers are the ideal solution to restore your vehicle's authentic appearance and safeguard it with factory-grade precision. Our Predator4x4 rear bumpers ensure your pick up looks as good as new.



 	

 	
Manufactured from high grade materials for added strength and durability




 	

 	
Plastic foot grips to provide easy access to your truck bed




 	

 	
Designed to restore your Amarok to its original glory




 	

 	
Securely fits to the OEM bumper mounting points




 	

 	
Plastic drainage strips for extra under foot grip",,Styling > Rear Bumpers,"Amarok,MK1 (2010-2020),Volkswagen",,,,HWBU010,in stock,299.99,https://www.4x4predator.co.uk/wp-content/uploads/2025/03/HWBU010-01.jpg
,Toyota Hilux Vigo MK7 RWD 05-15 Black Mud Guard Flaps,"Predator4x4 mud flaps are designed to redirect road debris, mud, and water away from your vehicle. Our Predator4x4 mud flaps keep your vehicle clean, protected, and looking its best, whether you're cruising the city streets or venturing off-road.







 



 Protect your Hilux from paint chips and road debris











 



 Manufactured from high quality Polypropylene











 



 Subtle yet substantial upgrade for your Hilux











 



 Supplied as a complete set of 4 mud flaps











 



 

Easy & Straightforward to install",,Styling > Mud Flaps,"Hilux,MK7 Vigo (2005-2015),Toyota",,,,HWMF002,in stock,19.99,https://www.4x4predator.co.uk/wp-content/uploads/2025/03/HWMF002-01fitted.jpg
,Toyota Hilux Vigo MK7 4WD 05-15 Black Mud Guard Flaps,"Predator4x4 mud flaps are designed to redirect road debris, mud, and water away from your vehicle. Our Predator4x4 mud flaps keep your vehicle clean, protected, and looking its best, whether you're cruising the city streets or venturing off-road.







 



 Protect your Hilux from paint chips and road debris











 



 Manufactured from high quality Polypropylene











 



 Subtle yet substantial upgrade for your Hilux











 



 Supplied as a complete set of 4 mud flaps











 



 

Easy & Straightforward to install",,Styling > Mud Flaps,"Hilux,MK7 Vigo (2005-2015),Toyota",,,,HWMF001,in stock,21.99,https://www.4x4predator.co.uk/wp-content/uploads/2025/03/HWMF001-01fitted.jpg
,Ford Ranger T9 2023+ - Twin Nudge Bull Bar Spoiler,"Predator4x4 city style nudge bars are the perfect fusion of rugged functionality and urban sophistication. Our Predator4x4 city style nudge bars are our designed to provide your pickup with a distinct, street-smart look while offering practical protection.

 	

 	A subtle twin nudge bar design seamlessly integrates with your Ranger's aesthetics




 	

 	Securely bolts to OEM mounts with no drilling required




 	

 	The perfect upgrade for improving safety and style




 	

 	Powder coated black for corrosion prevention




 	

 	All fixings included for an easy installation",,Styling > Bull Bars,"Ford,Ranger,Ranger T9 (2023+)",,,,HWNB001,in stock,199.99,https://www.4x4predator.co.uk/wp-content/uploads/2024/11/HWNB001-fade.jpg
,Ford Ranger T6 T7 12-17 Black Tow Bar,"Predator4x4 tow bar is the ultimate solution for all your towing and transporting needs. Our Predator4x4 tow bars easily integrates with accessories like bike racks and cargo carriers improving the overall of your Ranger.















 



 

Manufactured from black powder coated steel for long lasting strength











 



 

Easily integrate with accessories like a bike rack or a cargo carrier











 



 

Full kit including all necessary fittings for easy fitment











 



 

A must-have practical upgrade for your Ranger











 



 

Securely fits to the OEM mounting points",,Styling > Tow Bars,"Ford,Ranger T6 (2012-2015),Ranger T7 (2015-2019)",,,,HWTB001,out of stock,174.99,https://www.4x4predator.co.uk/wp-content/uploads/2025/03/HWTB001-01.jpg
,Isuzu D-Max RG 2021+ Black Tow Bar,"Predator4x4 tow bar is the ultimate solution for all your towing and transporting needs. Our Predator4x4 tow bars easily integrates with accessories like bike racks and cargo carriers improving the overall of your D-Max.















 



 

Manufactured from black powder coated steel for long lasting strength











 



 

Easily integrate with accessories like a bike rack or a cargo carrier











 



 

Full kit including all necessary fittings for easy fitment











 



 

A must-have practical upgrade for your D-Max











 



 

Securely fits to the OEM mounting points",,Styling > Tow Bars,"D-Max,Isuzu,RG (2021-2024)",,,,HWTB002,in stock,144.99,https://www.4x4predator.co.uk/wp-content/uploads/2025/03/HWTB002-01.jpg
,VW Amaork MK1 10-20 Rear Tailgate Protective Guard Cover,"Predator4x4 Protective rear guards are designed to withstand heavy-duty use and provide an extra layer of protection to the tailgate of your vehicle.

 Acts as a shield against scratches, dings, and dents caused by cargo, tools, or equipment
 Weather-resistant properties, protects your Amarok from moisture and rust
 Slim black design avoids adding unnecessary weight
 Quick and hassle-free installation process
 Manufactured from OEM grade ABS",,Truck Bed > Truck Bed Accessories > Tailgate Protection,"Amarok,MK1 (2010-2020),Volkswagen",,,,HWRG001,out of stock,64.99,https://www.4x4predator.co.uk/wp-content/uploads/2025/03/HWRG001-01.jpg
,Toyota Hilux MK9 2021+ GR Style Side Steps,"Our side steps are purpose built to protect the sides of your vehicle whilst granting easier access. All side steps are designed to bolt to the chassis, ensuring smooth fitment every time.







 



 Aluminium construction finished with drainage strips to provide good underfoot grip even in wet weather conditions











 



 Powder coated brackets ensure long lasting strength and corrosion resistance











 



 Securely bolts to OEM mounting points for accurate fitment











 



 Stylish and practical addition to your Hilux











 



 Protects the side of your vehicle",,Side Steps,"Hilux,MK8/MK9 Revo (2015+),Toyota",,,,HWSS002,in stock,219.99,https://www.4x4predator.co.uk/wp-content/uploads/2024/11/HWSS002-copy.jpg
,Ford Ranger T9 2023+ Raptor Style Skid Plate Sump Guard,"Predator4x4 skid plate kits fortify your vehicle's undercarriage, safeguarding critical components giving you the confidence to conquer rugged terrains. No matter the adventure our Predator4x4 skid plate offers the perfect combination of protection, durability, and style.

 Designed to protect vital components and provide increased resistance from dust, dirt and debris
 Securely bolts to the Ranger's chassis to maximise structural integrity
 Gives your Ranger a more aggressive, Raptor styling
 Designed to be a direct bolt on for ease of fitment
 Must have kit for your next off-road adventure",,Sump Guards,"Ford,Ranger T9 (2023+)",,,,HWBP001,in stock,144.99,https://www.4x4predator.co.uk/wp-content/uploads/2024/11/50-50-39.jpg
,Ford Ranger T6 T7 T8 12-22 Chrome Rear Bumper,"Predator4x4 rear bumpers are the ideal solution to restore your vehicle's authentic appearance and safeguard it with factory-grade precision. Our Predator4x4 rear bumpers ensure your pick up looks as good as new.



 	

 	
Manufactured from high grade materials for added strength and durability




 	

 	
Plastic foot grips to provide easy access to your truck bed




 	

 	
Designed to restore your Ranger to its original glory




 	

 	
Securely fits to the OEM bumper mounting points




 	

 	
Plastic drainage strips for extra under foot grip",,Styling > Rear Bumpers,"Ford,Ranger,Ranger T6 (2012-2015),Ranger T7 (2015-2019),Ranger T8 (2019-2022)",,,,HWBU003,in stock,179.99,https://www.4x4predator.co.uk/wp-content/uploads/2024/11/HWBU003-fade.jpg
,Mitsubishi L200 Series 4 5 6 2005+ Black Rear Tailgate Folding Ladder,"Our foldable tailgate ladder provides convenient access to your truck's bed and folds neatly against the tailgate when not in use. Predator4x4 step ladders enhance your vehicle's functionality, making loading and unloading your truck bed easier and more efficient

 	

 	Manufactured from a steel frame for a high load capacity




 	

 	Enhance the practicality of your vehicle with this deployable tailgate ladder




 	

 	Easy to fit on the tailgate of your vehicle




 	

 	Provides easy access to the bed of your pickup




 	

 	Supplied ready to fit with a black finish",,Accessories > Access Ladders,"L200,Mitsubishi,Series 3 (1996-2005),Series 4 (2005-2015),Series 5 (2015-2019),Series 6 (2019-2023)",,,,HWLA001-4,in stock,129.99,https://www.4x4predator.co.uk/wp-content/uploads/2024/11/50-50-22.jpg
,Toyota Hilux Vigo Revo MK7 MK8 MK9 2005+ Black Rear Tailgate Folding Ladder,"Our foldable tailgate ladder provides convenient access to your truck's bed and folds neatly against the tailgate when not in use. Predator4x4 step ladders enhance your vehicle's functionality, making loading and unloading your truck bed easier and more efficient

 	

 	Manufactured from a steel frame for a high load capacity




 	

 	Enhance the practicality of your vehicle with this deployable tailgate ladder




 	

 	Easy to fit on the tailgate of your vehicle




 	

 	Provides easy access to the bed of your pickup




 	

 	Supplied ready to fit with a black finish",,Accessories > Access Ladders,"Hilux,MK5 (1988-1997),MK6 (1997-2004),MK7 Vigo (2005-2015),MK8/MK9 Revo (2015+),Toyota",,,,HWLA001-3,in stock,129.99,https://www.4x4predator.co.uk/wp-content/uploads/2024/11/50-50-2-7.jpg
,VW Amarok MK1 MK2 2010+ Black Rear Tailgate Folding Ladder,"Our foldable tailgate ladder provides convenient access to your truck's bed and folds neatly against the tailgate when not in use. Predator4x4 step ladders enhance your vehicle's functionality, making loading and unloading your truck bed easier and more efficient

 	

 	Manufactured from a steel frame for a high load capacity




 	

 	Enhance the practicality of your vehicle with this deployable tailgate ladder




 	

 	Easy to fit on the tailgate of your vehicle




 	

 	Provides easy access to the bed of your pickup




 	

 	Supplied ready to fit with a black finish",,Accessories > Access Ladders,"Amarok,MK1 (2010-2020),MK2 (2023+),Volkswagen",,,,HWLA001-6,in stock,129.99,https://www.4x4predator.co.uk/wp-content/uploads/2024/11/50-50-3-2.jpg
,Isuzu D-Max RT RG 2002+ Black Rear Tailgate Folding Ladder,"Our foldable tailgate ladder provides convenient access to your truck's bed and folds neatly against the tailgate when not in use. Predator4x4 step ladders enhance your vehicle's functionality, making loading and unloading your truck bed easier and more efficient

 	

 	Manufactured from a steel frame for a high load capacity




 	

 	Enhance the practicality of your vehicle with this deployable tailgate ladder




 	

 	Easy to fit on the tailgate of your vehicle




 	

 	Provides easy access to the bed of your pickup




 	

 	Supplied ready to fit with a black finish",,Accessories > Access Ladders,"D-Max,Isuzu,RA (2002-2011),RG (2021-2024),RT (2012-2020)",,,,HWLA001-5,in stock,129.99,https://www.4x4predator.co.uk/wp-content/uploads/2024/11/50-50-22.jpg
,Ford Ranger T6 T7 T8 T9 2012+ Black Rear Tailgate Folding Ladder,"Our foldable step ladder provides convenient access to your truck's bed and folds neatly against the tailgate when not in use. Predator4x4 step ladders enhance your vehicle's functionality, making loading and unloading your truck bed easier and more efficient

 	

 	Manufactured from a steel frame for a high load capacity




 	

 	Enhance the practicality of your vehicle with this deployable tailgate ladder




 	

 	Easy to fit on the tailgate of your vehicle




 	

 	Provides easy access to the bed of your pickup




 	

 	Supplied ready to fit with a black finish",,Accessories > Access Ladders,"Ford,Ranger,Ranger T6 (2012-2015),Ranger T7 (2015-2019),Ranger T8 (2019-2022),Ranger T9 (2023+)",,,,HWLA001-1,in stock,129.99,https://www.4x4predator.co.uk/wp-content/uploads/2024/11/50-50-30.jpg
,Nissan Navara D40 D23 NP300 2005+ Black Rear Tailgate Folding Ladder,"Our foldable tailgate ladder provides convenient access to your truck's bed and folds neatly against the tailgate when not in use. Predator4x4 step ladders enhance your vehicle's functionality, making loading and unloading your truck bed easier and more efficient

 	

 	Manufactured from a steel frame for a high load capacity




 	

 	Enhance the practicality of your vehicle with this deployable tailgate ladder




 	

 	Easy to fit on the tailgate of your vehicle




 	

 	Provides easy access to the bed of your pickup




 	

 	Supplied ready to fit with a black finish",,Accessories > Access Ladders,"D23 NP300 (2015-2021),D40 (2005-2014),Navara,Nissan",,,,HWLA001-2,in stock,129.99,https://www.4x4predator.co.uk/wp-content/uploads/2024/11/50-50-18.jpg
,Universal Black Rear Tailgate Folding Ladder,"Our foldable step ladder provides convenient access to your truck's bed and folds neatly against the tailgate when not in use. Predator4x4 step ladders enhance your vehicle's functionality, making loading and unloading your truck bed easier and more efficient

 	

 	Manufactured from a steel frame for a high load capacity




 	

 	Enhance the practicality of your vehicle with this deployable tailgate ladder




 	

 	Easy to fit on the tailgate of your vehicle




 	

 	Provides easy access to the bed of your pickup




 	

 	Supplied ready to fit with a black finish",,Accessories > Access Ladders,,,,,HWLA001,in stock,129.99,https://www.4x4predator.co.uk/wp-content/uploads/2024/11/50-50-3-2.jpg
,Mitsubishi L200 Series 6 19-23 Black Tailgate Spoiler,"Our spoilers are designed using CAD to ensure perfect fitment every time. Fitting a Predator4x4 spoiler will greatly improve both the exterior appearance and aerodynamics of your vehicle.

&nbsp;




 	Enhance the look of your L200 with this streamlined spoiler
 	Designed to fit flush with the shape of your L200's tailgate
 	Easy to fit with a combination of self-adhesive tape
 	Supplied ready to fit with a satin black finish
 	Manufactured from OEM grade ABS",,Styling > Spoilers,"L200,Mitsubishi,Series 6 (2019-2023)",,,,HWSP004,in stock,49.99,https://www.4x4predator.co.uk/wp-content/uploads/2024/11/50-50-23.jpg
,Isuzu D-Max RG 2021+ - 4x4 Off Road Nudge Bull Bar,"Predator4x4 nudge bars are the perfect fusion of rugged functionality and urban sophistication. Our Predator4x4 off road nudge bars are aggressively styled to enhance the overall aesthetics of your pickup.







 A durable off-road style nudge bull bar, designed to enhance your D-Max's aesthetics.

 Two integrated mounting tabs perfect for adding off road lighting

 Securely bolts to OEM mounts with no drilling required

 Powder coated black for corrosion prevention

 All fixings included for an easy installation",,Styling > Bull Bars,"D-Max,Isuzu,RG (2021-2024)",,,,HWNB007,out of stock,164.99,https://www.4x4predator.co.uk/wp-content/uploads/2025/03/HWNB003-01-3.jpg
,Toyota Hilux Revo MK9 2021+ Invincible X Body Kit Conversion Bumper And Wheel Arches,"Transform your vehicle with our Predator4x4 Invincible X Conversion Bumper and Wheel Arches, designed to enhance your ride's rugged appeal with aggressive styling. Built for durability and ease of installation, this kit effortlessly elevates your vehicle's aesthetics by providing a Invincible X look.







 



 Securely fits to OEM mounting points for ease of fitment











 



 Gives your Hilux the aggressive styling of the Invincible X











 



 Supplied as pictured with a gloss black finish ready for fitting











 



 Manufactured from high quality ABS for long lasting strength and durability











 



 Full kit including a new front bumper, grille, wide wheel arches, trims and lights.",,Styling > Body Kits,"Hilux,MK8/MK9 Revo (2015+),Toyota",,,,HWBK006,out of stock,599.99,https://www.4x4predator.co.uk/wp-content/uploads/2024/11/HWBK006-01.jpg
,Nissan Navara D23 NP300 15-21 Black Raptor Style Bonnet Scoop,"Our bonnet vent kits are a great accessory for your vehicle, offering a simple and straightforward way to update the look of your front end.







 



 A simple upgrade to give your Navara the iconic Raptor look











 



 Manufactured from OEM-grade materials for increased strength & durability











 



 CAD designed, vehicle specific & perfect fitment











 



 The black finish looks great and tough as is, or can be primed and painted with ease











 



 Everything is included for installation (no fitting instructions included)",,Styling > Bonnet Scoops,"D23 NP300 (2015-2021),Navara,Nissan",,,,HWBS001,out of stock,124.99,https://www.4x4predator.co.uk/wp-content/uploads/2024/11/50-50-2-5.jpg
,Isuzu D-Max RT 12-20 - 4x4 Off Road Nudge Bull Bar,"Predator4x4 nudge bars are the perfect fusion of rugged functionality and urban sophistication. Our Predator4x4 off road nudge bars are aggressively styled to enhance the overall aesthetics of your pickup.



 A durable off-road style nudge bull bar, designed to enhance your D-Max's aesthetics.

 Two integrated mounting tabs perfect for adding off road lighting

 Securely bolts to OEM mounts with no drilling required

 Powder coated black for corrosion prevention

 All fixings included for an easy installation",,Styling > Bull Bars,"D-Max,Isuzu,RT (2012-2020)",,,,HWNB006,out of stock,194.99,https://www.4x4predator.co.uk/wp-content/uploads/2025/03/HWNB003-01-2.jpg
,Predator4x4 Black Running Boards To Fit Jaguar F-Pace X761 2016+,"Our side steps are purpose built to protect the sides of your vehicle whilst granting easier access. All side steps are designed to bolt to the chassis, ensuring smooth fitment every time.

 	Aluminium construction finished with long drainage strips
 	Protects the side of your vehicle
 	Stylish and practical addition to your F-Pace
 	Designed to be a bolt on kit
 	We recommend this kit to be fitted by a certified garage
 	Please note this is an aftermarket item and not a genuine JLR part",,Side Steps,"L560 (2017+),Land Rover,Range Rover Velar",,,,LRSS048-2,in stock,179.99,https://www.4x4predator.co.uk/wp-content/uploads/2024/11/LRSS048-Black-07-1.jpg
,Nissan Navara D23 NP300 15-21 Bronco Style Side Steps,"Predator4x4 side steps offer the perfect combination of protection, utility, and style. Our Predator4x4 side steps maximise protection of your sills and doors against potential off road impacts.

 	

 	Crafted from heavy-duty materials, our Bronco style side steps are built to withstand the toughest off-road conditions




 	

 	Offering convenient entry and exit points while doubling as robust shields




 	

 	Provide your Navara with a rugged and off-road-ready aesthetic




 	

 	Powder coated black for maximum rust prevention




 	

 	All fixings included for an easy installation",,Side Steps,"D23 NP300 (2015-2021),Navara,Nissan",,,,HWSS006,in stock,229.99,https://www.4x4predator.co.uk/wp-content/uploads/2024/11/50-50-2-6.jpg
,Nissan Navara D23 NP300 15-21 - 4x4 Off Road Nudge Bull Bar,"Predator4x4 nudge bars are the perfect fusion of rugged functionality and urban sophistication. Our Predator4x4 off road nudge bars are aggressively styled to enhance the overall aesthetics of your pickup.


 	A durable off-road style nudge bull bar, designed to enhance your Navara's aesthetics
 	Two integrated mounting tabs perfect for adding off road lighting
 	Securely bolts to OEM mounts with no drilling required
 	Powder coated black for corrosion prevention
 	All fixings included for an easy installation",,Styling > Bull Bars,"D23 NP300 (2015-2021),Navara,Nissan",,,,HWNB005,in stock,224.99,https://www.4x4predator.co.uk/wp-content/uploads/2024/11/50-50-36.jpg
,Toyota Hilux Revo MK7 2005-2015 Black Tailgate Seat With Cup Holders,"Predator4x4 tailgate seats are a simple and effective addition to your Toyota Hilux, offering a dedicated place to fit on your tailgate with the bonus of two cup holders and a storage section for added practicality. Our tailgate seats are designed to fit straight onto your vehicle's tailgate for quick and easy installation.

 Easily wiped clean should any spillages occur
 Minimal design avoids taking up any unnecessary storage space
 CAD designed to guarantee perfect fitment to your Hilux's tailgate
 Manufactured from OEM grade ABS to ensure long-lasting strength and durability
 Fitted with 2 moulded seating spots, 2 cup holders and a designated storage section",,Truck Bed > Truck Bed Accessories > Tailgate Seats,"Hilux,MK7 Vigo (2005-2015),Toyota",,,,HWTS003,in stock,59.99,https://www.4x4predator.co.uk/wp-content/uploads/2025/03/HWTS002-01-505-50-1.jpg
,Toyota Hilux Revo MK9 2021+ Black Tailgate Seat With Cup Holders,"Predator4x4 tailgate seats are a simple and effective addition to your Toyota Hilux, offering a dedicated place to fit on your tailgate with the bonus of two cup holders and a storage section for added practicality. Our tailgate seats are designed to fit straight onto your vehicle's tailgate for quick and easy installation.

 Easily wiped clean should any spillages occur
 Minimal design avoids taking up any unnecessary storage space
 CAD designed to guarantee perfect fitment to your Hilux's tailgate
 Manufactured from OEM grade ABS to ensure long-lasting strength and durability
 Fitted with 2 moulded seating spots, 2 cup holders and a designated storage section",,Truck Bed > Truck Bed Accessories > Tailgate Seats,"Hilux,MK8/MK9 Revo (2015+),Toyota",,,,HWTS002-1,in stock,64.99,https://www.4x4predator.co.uk/wp-content/uploads/2025/03/HWTS002-01-505-50-copy.jpg
,Toyota Hilux Revo MK8 2015+ Black Tailgate Seat With Cup Holders,"Predator4x4 tailgate seats are a simple and effective addition to your Toyota Hilux, offering a dedicated place to fit on your tailgate with the bonus of two cup holders and a storage section for added practicality. Our tailgate seats are designed to fit straight onto your vehicle's tailgate for quick and easy installation.

 Easily wiped clean should any spillages occur
 Minimal design avoids taking up any unnecessary storage space
 CAD designed to guarantee perfect fitment to your Hilux's tailgate
 Manufactured from OEM grade ABS to ensure long-lasting strength and durability
 Fitted with 2 moulded seating spots, 2 cup holders and a designated storage section",,Truck Bed > Truck Bed Accessories > Tailgate Seats,"Hilux,MK8/MK9 Revo (2015+),Toyota",,,,HWTS002,in stock,64.99,https://www.4x4predator.co.uk/wp-content/uploads/2025/03/HWTS002-01-50-50.jpg
,Toyota Hilux Vigo MK7 2005-2015 TRD Style Side Steps,"Our side steps are purpose built to protect the sides of your vehicle whilst granting easier access. All side steps are designed to bolt to the chassis, ensuring smooth fitment every time.







 



 Aluminium construction finished with drainage strips to provide good underfoot grip even in wet weather conditions











 



 Powder coated brackets ensure long lasting strength and corrosion resistance











 



 Securely bolts to OEM mounting points for accurate fitment











 



 Stylish and practical addition to your Hilux











 



 Protects the side of your vehicle",,Side Steps,"Hilux,MK7 Vigo (2005-2015),Toyota",,,,HWSS005,in stock,199.99,https://www.4x4predator.co.uk/wp-content/uploads/2024/11/HWSS005-copy.jpg
,Toyota Hilux Revo MK8 MK9 2015+ - Off Road 4x4 Nudge Bull Bar,"Predator4x4 nudge bars are the perfect fusion of rugged functionality and urban sophistication. Our Predator4x4 off road nudge bars are aggressively styled to enhance the overall aesthetics of your pickup.







 A durable off-road style nudge bull bar, designed to enhance your Hilux's aesthetics

 Two integrated mounting tabs perfect for adding off road lighting

 Securely bolts to OEM mounts with no drilling required

 Powder coated black for corrosion prevention

 All fixings included for an easy installation",,Styling > Bull Bars,"Hilux,MK8/MK9 Revo (2015+),Toyota",,,,HWNB004,out of stock,224.99,https://www.4x4predator.co.uk/wp-content/uploads/2024/11/50-50-27.jpg
